SowTreat	Cultivar	Block 	Plot	SowingDate	ReadingDate 	DAS	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
S2	Antas 	2	29	30/03/2016	1/07/16	93	1	1	1	1	1	1	1	1	1	1
S2	Monti	2	30	30/03/2016	1/07/16	93	0	1	1	1	0	1	0	0	0	0
S2	Denmark	3	31	30/03/2016	1/07/16	93	1	1	1	0	0	1	0	1	1	1
S2	Antas 	3	32	30/03/2016	1/07/16	93	1	1	1	1	1	1	1	1	1	1
S2	Monti	3	33	30/03/2016	1/07/16	93	1	1	1	1	0	1	1	1	1	0
S2	Woogenellup	3	34	30/03/2016	1/07/16	93	1	1	1	1	1	1	1	1	1	1
S2	Leura	3	35	30/03/2016	1/07/16	93	1	0	1	1	0	1	1	0	1	1
S2	Narrikup	3	36	30/03/2016	1/07/16	93	1	1	1	1	1	1	1	1	1	1
S2	Narrikup	1	19	30/03/2016	8/07/16	100	1	1	1	1	1	1	1	1	1	1
S2	Monti	1	20	30/03/2016	8/07/16	100	0	1	0	0	1	1	1	1	1	1
